date,market,description,line,odds,edge_pct,score,outcome,policy_version
2026-06-05,prop_tb,"Luis García Jr. tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,320,6.7632493408476515,1.911678677940339,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"CJ Abrams tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-222,7.741722775306458,2.069531830736941,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"CJ Abrams tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,120,9.1733592909647,2.027834653456736,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"CJ Abrams tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,240,8.464644873909661,2.0512341688931803,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"CJ Abrams tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,390,6.248141038335262,1.8979852965878063,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Tommy Troy tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-169,8.39716609791532,2.05902549305831,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Tommy Troy tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,160,9.454645134289507,2.0751857184756926,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Tommy Troy tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,340,8.671977390523372,2.205875446171116,L,2026-06-10-prop-calibration
2026-06-05,prop_hr,"Hunter Goodman hr OVER 0.5 [1-sided, ~8% juice est.]",0.5,265,5.725614248432001,1.443624350873914,W,2026-06-10-prop-calibration
2026-06-05,prop_rbi,"Garrett Mitchell rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,140,7.920663851059734,1.861959350783836,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jake McCarthy tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,-105,6.69693824331124,1.6820757956521775,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jake McCarthy tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,210,7.453465570234369,1.8802726938974892,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Hunter Goodman tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-263,6.834119689962492,1.9721533518388024,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Hunter Goodman tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,-110,6.924252432259364,1.7267011083967807,W,2026-06-10-prop-calibration
2026-06-05,prop_rbi,"Wade Meckler rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,230,7.3567044985387025,1.875973739928149,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Mike Trout tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-159,7.066603700044205,1.8185037381888136,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Mike Trout tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,155,6.569774860473809,1.6761031624923768,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Wade Meckler tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-159,9.790652614116324,2.232749800148609,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Wade Meckler tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,185,12.01341446915582,2.3369110421399855,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Wade Meckler tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,390,10.659915495875364,2.461088684816677,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Zach Neto tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-169,6.180122809267619,1.650472518540941,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Oswald Peraza tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-145,9.799066307883031,2.1987492334369008,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Oswald Peraza tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,210,12.027514643993808,2.360806746837764,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Ernie Clement tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,320,6.10041318011649,1.776491947293865,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Carlos Cortes tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,250,7.789444677818394,1.978245063321441,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nick Kurtz tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-189,6.897553876559281,1.839979573257362,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Shea Langeliers tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-244,7.051480062596561,1.9810821832569503,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Shea Langeliers tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,185,6.062079967974526,1.6017733475356806,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Carlos Cortes tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-222,6.947911321730393,1.9142175251355922,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Shea Langeliers tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,105,7.939445670581197,1.8748316559385807,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Zack Gelof tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-149,8.14055064707776,1.9782877574625175,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Zack Gelof tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,185,8.987589791532862,2.0466067759495536,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Christian Vázquez tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,215,6.9697915496567395,1.8113923542894148,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Zack Gelof tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,360,7.185764380621321,2.0345441579306427,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Carlos Cortes tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,120,8.075552213564418,1.890735761884772,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nick Kurtz tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,125,6.192835909565147,1.5807387407559412,L,2026-06-10-prop-calibration
2026-06-06,prop_rbi,"Christian Vázquez rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,230,8.045882650536685,1.9707761307520228,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Yandy Díaz tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,125,6.154408776958414,1.5723971302625428,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Yandy Díaz tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,280,6.58808887621756,1.8274025434359633,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nolan Arenado tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-233,7.35003732386571,2.019106377644746,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nolan Arenado tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,125,9.849500206294087,2.103188483002001,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nolan Arenado tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,250,9.05793790372383,2.131689814922654,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nolan Arenado tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,375,6.077572713105953,1.8397533129637988,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Tommy Troy tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,155,10.763888556486195,2.2044257033738806,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Tommy Troy tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,340,10.288585260158456,2.3680071190147935,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Tommy Troy tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-189,8.40171784214978,2.1057456235224454,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Kyle Schwarber tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-189,8.51599763180111,2.123888957202044,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Kyle Schwarber tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,120,7.798092813914881,1.8524873322995234,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Miguel Vargas tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-204,8.405290919231623,2.142468939377028,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Miguel Vargas tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,115,8.286818239744608,1.9189659133750203,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Colson Montgomery tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-204,7.65938787622763,2.0142999214017663,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Colson Montgomery tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,105,6.131159797668967,1.5638620622586012,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Drew Romo tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-149,9.826285753452312,2.212027085108131,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Miguel Vargas tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,210,6.681362008083836,1.7556029241196163,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Drew Romo tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,165,9.736331384238566,2.1089549096456146,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Drew Romo tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,320,8.054538586512175,2.1053768926802356,L,2026-06-10-prop-calibration
2026-06-06,prop_hr,"Miguel Vargas hr OVER 0.5 [1-sided, ~8% juice est.]",0.5,360,6.142826118389793,1.6465202259027507,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Ryan O'Hearn tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,155,8.559169319629966,1.9689263225436688,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Oneil Cruz tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,265,8.038661881327078,2.0308151732636284,L,2026-06-10-prop-calibration
2026-06-06,prop_rbi,"Bryan Reynolds rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,200,7.3217888029438125,1.834134288207439,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Ryan O'Hearn tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-185,6.9431185259796635,1.8415977212860333,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Bryan Reynolds tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,150,6.96017845997991,1.7403987562363838,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Bryan Reynolds tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,320,6.53733583993695,1.8695890864410656,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Oneil Cruz tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,155,10.850927917880766,2.2127028978390273,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Brandon Lowe tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-179,10.867223670567983,2.432995897038056,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Brandon Lowe tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,140,12.115145022424356,2.3236503550229437,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Brandon Lowe tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,250,9.955595836901734,2.2236590919598966,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Spencer Horwitz tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-200,8.229039922481018,2.1036488819170516,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Spencer Horwitz tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,140,10.163668959992927,2.138438252032133,L,2026-06-10-prop-calibration
2026-06-06,prop_runs,"Endy Rodríguez runs OVER 0.5 [1-sided, ~8% juice est.]",0.5,135,8.88599482814605,3.014631427476829,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Brandon Lowe tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,340,6.034300381361341,1.7857316319059406,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Ryan O'Hearn tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,310,7.355353035431214,1.9954172718308305,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Oneil Cruz tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-159,10.47051019064913,2.3210917265322397,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Spencer Horwitz tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,310,10.071854252416365,2.310508276426064,L,2026-06-10-prop-calibration
2026-06-06,prop_rbi,"Dominic Smith rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,210,7.899082036918381,1.9270461925221944,W,2026-06-10-prop-calibration
2026-06-06,prop_hr,"Oneil Cruz hr OVER 0.5 [1-sided, ~8% juice est.]",0.5,375,4.5692551057014335,1.054332610185682,L,2026-06-10-prop-calibration
2026-06-06,prop_hr,"Brandon Lowe hr OVER 0.5 [1-sided, ~8% juice est.]",0.5,390,7.503999071669301,1.9014454605947475,L,2026-06-10-prop-calibration
2026-06-06,prop_rbi,"JJ Bleday rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,165,7.860701425298994,1.873047394070643,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nelson Velázquez tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-189,10.283432576668039,2.384705443340991,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"José Fermín tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-145,8.290439538451256,1.9929217986266714,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"José Fermín tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,190,9.078769779278446,2.0620793925746854,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"JJ Bleday tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,250,9.721921666931607,2.2007377057132347,L,2026-06-10-prop-calibration
2026-06-06,prop_pitcher_k,Nick Lodolo pitcher_k UNDER 4.5,4.5,105,12.351878569057046,6.871391349399815,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nelson Velázquez tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,125,10.779151474028776,2.1994517589949942,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Nelson Velázquez tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,230,9.14451976492392,2.115926474898625,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Jordan Walker tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-278,8.46829381801032,2.344668311789788,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Jordan Walker tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,100,11.486567174320268,2.292345702377509,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Jordan Walker tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,200,11.386902261329057,2.29710498878874,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Jordan Walker tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,280,7.756822954555517,2.013212532284529,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"JJ Bleday tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-189,10.090845846213448,2.357646933853847,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"JJ Bleday tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,130,10.982772179221401,2.218782447681419,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"JJ Bleday tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,360,6.320431550502553,1.8764246673079152,L,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Lars Nootbaar tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,150,6.033247537383374,1.561241462471261,W,2026-06-10-prop-calibration
2026-06-06,prop_hr,"Jordan Walker hr OVER 0.5 [1-sided, ~8% juice est.]",0.5,360,7.502492840278779,1.866844763195074,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Willson Contreras tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-189,8.651370827194382,2.145121736521206,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Willson Contreras tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,135,9.431720375248576,2.0588626034492425,W,2026-06-10-prop-calibration
2026-06-06,prop_hr,"Willson Contreras hr OVER 0.5 [1-sided, ~8% juice est.]",0.5,390,3.264582909261862,0.7800818583970713,W,2026-06-10-prop-calibration
2026-06-06,prop_tb,"Willson Contreras tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,250,7.696380724279258,1.9654942654635865,W,2026-06-10-prop-calibration
2026-06-06,prop_rbi,"Andy Pages rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,130,7.025348310293655,1.7245299697300478,W,2026-06-10-prop-calibration
